cluster_id,representative,family,priority_score,cluster_size,members
3,rain_heavy_days_lag2,precipitacao,6.3,41,"rain, temp_min, humidity_mean, pressure, dew_point_mean, rain_heavy_days, dry_spell_max_days, temp_range, rain_ma4, rain_ma8, rain_cum4, rain_cum8, humidity_ma4, pressure_ma4, dew_point_ma4, rain_heavy_days_ma4, dry_spell_max_days_ma4, temp_humidity_interaction, rain_temp_interaction, rain_lag1, rain_lag2, rain_lag4, temp_min_lag1, temp_min_lag2, temp_min_lag4, temp_min_lag8, humidity_mean_lag1, humidity_mean_lag2, humidity_mean_lag4, dew_point_mean_lag1, dew_point_mean_lag2, dew_point_mean_lag4, pressure_lag1, pressure_lag2, pressure_lag4, rain_heavy_days_lag1, rain_heavy_days_lag2, rain_heavy_days_lag4, dry_spell_max_days_lag1, dry_spell_max_days_lag2, dry_spell_max_days_lag4"
7,rain_heavy_days_lag8,precipitacao,6.3,8,"rain_lag8, temp_min_lag12, humidity_mean_lag8, dew_point_mean_lag8, pressure_lag8, pressure_lag12, rain_heavy_days_lag8, dry_spell_max_days_lag8"
6,rain_heavy_days_lag12,precipitacao,5.8,5,"rain_lag12, humidity_mean_lag12, dew_point_mean_lag12, rain_heavy_days_lag12, dry_spell_max_days_lag12"
1,temp_mean_lag2,temperatura,5.3,10,"temp_mean, temp_max, temp_ma4, temp_ma8, temp_mean_lag1, temp_mean_lag2, temp_mean_lag4, temp_max_lag1, temp_max_lag2, temp_max_lag4"
2,temp_mean_lag8,temperatura,5.3,4,"temp_mean_lag8, temp_mean_lag12, temp_max_lag8, temp_max_lag12"
5,wind_speed_lag2,vento,2.6,1,wind_speed_lag2
8,wind_speed_lag4,vento,2.6,1,wind_speed_lag4
9,wind_speed_lag8,vento,2.6,1,wind_speed_lag8
4,wind_ma4,vento,2.5,3,"wind_speed, wind_ma4, wind_speed_lag1"
10,wind_speed_lag12,vento,2.1,1,wind_speed_lag12
